id,Timestamp,Station,Temperature,Humidity
127,2002-01-03 16:30,Changi,29.00,65.95
128,2002-01-03 17:00,Changi,29.00,65.95
129,2002-01-03 17:30,Changi,28.00,69.90
130,2002-01-03 18:00,Changi,28.00,69.90
131,2002-01-03 18:30,Changi,27.00,74.11
132,2002-01-03 19:00,Changi,27.00,74.11
133,2002-01-03 19:30,Changi,27.00,74.11
134,2002-01-03 20:00,Changi,27.00,74.11
135,2002-01-03 20:30,Changi,27.00,74.11
136,2002-01-03 21:00,Changi,26.00,78.62
137,2002-01-03 21:30,Changi,26.00,78.62
138,2002-01-03 22:00,Changi,26.00,78.62
139,2002-01-03 22:30,Changi,26.00,78.62
140,2002-01-03 23:00,Changi,26.00,78.62
141,2002-01-03 23:30,Changi,25.00,88.67
142,2002-01-04 00:00,Changi,25.00,88.67
143,2002-01-04 00:30,Changi,25.00,83.44
144,2002-01-04 01:00,Changi,25.00,83.44
145,2002-01-04 01:30,Changi,25.00,83.44
146,2002-01-04 02:00,Changi,25.00,83.44
147,2002-01-04 02:30,Changi,24.00,94.14
148,2002-01-04 03:00,Changi,24.00,94.14
149,2002-01-04 03:30,Changi,24.00,88.59
150,2002-01-04 04:00,Changi,24.00,94.14
151,2002-01-04 04:30,Changi,25.00,88.67
152,2002-01-04 05:00,Changi,24.00,94.14
153,2002-01-04 05:30,Changi,25.00,88.67
154,2002-01-04 06:00,Changi,25.00,88.67
155,2002-01-04 06:30,Changi,25.00,88.67
156,2002-01-04 07:00,Changi,25.00,88.67
157,2002-01-04 07:30,Changi,25.00,88.67
158,2002-01-04 08:00,Changi,25.00,88.67
159,2002-01-04 08:30,Changi,25.00,88.67
160,2002-01-04 09:00,Changi,25.00,88.67
161,2002-01-04 09:30,Changi,26.00,83.55
162,2002-01-04 10:00,Changi,26.00,83.55
163,2002-01-04 10:30,Changi,27.00,83.66
164,2002-01-04 11:00,Changi,28.00,74.28
165,2002-01-04 11:30,Changi,28.00,74.28
166,2002-01-04 12:00,Changi,28.00,78.90
167,2002-01-04 12:30,Changi,29.00,74.44
168,2002-01-04 13:00,Changi,29.00,65.95
169,2002-01-04 13:30,Changi,30.00,66.15
170,2002-01-04 14:00,Changi,30.00,66.15
171,2002-01-04 14:30,Changi,31.00,62.47
172,2002-01-04 15:00,Changi,30.00,66.15
173,2002-01-04 15:30,Changi,30.00,58.55
174,2002-01-04 16:00,Changi,31.00,58.78
175,2002-01-04 16:30,Changi,30.00,62.25
176,2002-01-04 17:00,Changi,30.00,58.55
177,2002-01-04 17:30,Changi,30.00,58.55
178,2002-01-04 18:00,Changi,29.00,58.32
179,2002-01-04 18:30,Changi,29.00,62.03
180,2002-01-04 19:00,Changi,28.00,69.90
181,2002-01-04 19:30,Changi,28.00,69.90
182,2002-01-04 20:00,Changi,27.00,74.11
183,2002-01-04 20:30,Changi,27.00,78.76
184,2002-01-04 21:00,Changi,27.00,78.76
185,2002-01-04 21:30,Changi,26.00,83.55
186,2002-01-04 22:00,Changi,26.00,83.55
187,2002-01-04 22:30,Changi,26.00,83.55
188,2002-01-04 23:00,Changi,26.00,83.55
189,2002-01-04 23:30,Changi,26.00,83.55
190,2002-01-05 00:00,Changi,25.00,88.67
191,2002-01-05 00:30,Changi,25.00,88.67
192,2002-01-05 01:00,Changi,25.00,88.67
193,2002-01-05 01:30,Changi,25.00,88.67
194,2002-01-05 02:00,Changi,25.00,88.67
195,2002-01-05 02:30,Changi,25.00,88.67
196,2002-01-05 03:00,Changi,25.00,94.19
197,2002-01-05 03:30,Changi,25.00,94.19
198,2002-01-05 04:00,Changi,25.00,94.19
199,2002-01-05 04:30,Changi,25.00,94.19
200,2002-01-05 05:00,Changi,25.00,94.19
201,2002-01-05 05:30,Changi,25.00,94.19
202,2002-01-05 06:00,Changi,25.00,94.19
203,2002-01-05 06:30,Changi,25.00,94.19
204,2002-01-05 07:00,Changi,25.00,94.19
205,2002-01-05 07:30,Changi,25.00,94.19
206,2002-01-05 08:00,Changi,25.00,94.19
207,2002-01-05 08:30,Changi,26.00,88.75
208,2002-01-05 09:00,Changi,26.00,88.75
209,2002-01-05 09:30,Changi,28.00,78.90
210,2002-01-05 10:00,Changi,28.00,78.90
211,2002-01-05 10:30,Changi,29.00,70.08
