Date,Station,Category,Value
2013-10-09,Paya Lebar,Max Humidity   ,100.0
2013-10-14,Paya Lebar,Max Humidity   ,100.0
2013-10-15,Paya Lebar,Max Humidity   ,100.0
2013-10-20,Paya Lebar,Max Humidity   ,100.0
2013-10-28,Paya Lebar,Max Humidity   ,100.0
2013-11-12,Paya Lebar,Max Humidity   ,100.0
2013-11-13,Paya Lebar,Max Humidity   ,100.0
2013-11-14,Paya Lebar,Max Humidity   ,100.0
2013-11-23,Paya Lebar,Max Humidity   ,100.0
2013-12-04,Paya Lebar,Max Humidity   ,100.0
2013-12-08,Paya Lebar,Max Humidity   ,100.0
2013-12-09,Paya Lebar,Max Humidity   ,100.0
